,CA.102548,CA.104338,CA.105094,CA.109745,CA.1906415,CA.1912627,CA.1924346,CA.1926760,CA.1927842,CA.1933414,CA.1940640,CA.2004407,CA.2005288,CA.2006047,CA.2008260,CA.2009329,CA.2009381,CA.2009850,CA.2017611,CA.2039179,CA.2040686,CA.2045012,CA.2046297,CA.348981,CA.354300,CA.359448,CA.94377,CA.98389,CA.98475,CA.99145,CAP.102548,CAP.104338,CAP.105094,CAP.109745,CAP.1906415,CAP.1912627,CAP.1924346,CAP.1926760,CAP.1927842,CAP.1933414,CAP.1940640,CAP.2004407,CAP.2005288,CAP.2006047,CAP.2008260,CAP.2009329,CAP.2009381,CAP.2009850,CAP.2017611,CAP.2039179,CAP.2040686,CAP.2046297,CAP.2046641,CAP.348981,CAP.354300,CAP.359448,CAP.94377,CAP.98389,CAP.98475,CAP.99145
STPG1,3.682573297347578,2.990954860396993,4.3269687115878925,2.7070829917717063,2.440952198029637,2.5160151470036647,2.2600256559614555,2.3950627995175777,2.189033824390017,2.6392321632492775,2.646162657157894,2.2839217723076173,2.0738202332916713,2.403267722339301,2.430285272977781,2.3103401206121505,2.548436624696042,2.608809242675524,2.9981955031532523,2.0840642647884744,2.4854268271702415,2.8619553641448694,2.5310694927259543,2.7845039829295666,1.7004397181410922,2.3840498067951597,2.7484612330040354,3.5582676340557358,3.2464080872463845,2.2357270598380583,4.922673592849446,1.7949356628035362,2.625270489374693,3.12267271882414,3.0755326311673574,4.34766565630097,2.903038270112912,2.3476656563009706,4.152183419055046,2.689299160535892,3.494415610397496,2.189033824390017,2.1210154009613658,4.707082991771706,4.0798047546352585,2.169925001442312,2.1043366598147357,2.1473066987802936,4.012568673503056,2.144046369616707,2.140778655782796,2.4828482830684653,2.3103401206121505,2.3305584000308026,1.8639384504239715,2.269033146455237,2.817623257511431,2.931683057059806,2.788685710613534,2.3476656563009706
NIPAL3,3.3868109464722167,3.2839217723076173,0.0,3.71699089440494,2.763411574470007,3.6392321632492775,3.4436066514756147,5.39780296186249,4.62702310555406,5.02768487693716,4.773996325111173,3.5570424152637194,3.643856189774725,3.883620816285671,4.1586601753464985,3.440952198029637,4.1201860275318625,4.20945336562895,3.885574364371426,4.721919445551544,4.024142345897803,3.940166750482817,3.71699089440494,4.038260575175349,3.400537929583729,4.864928972289788,4.442280035252584,4.848998430400023,3.4698859762744636,4.302319050948834,4.019701914442548,3.3146965256562866,3.7070829917717063,4.45022149589718,3.5285713188707577,0.29865831556451516,3.72137265947682,4.634593268445757,3.258518924711301,3.4802651220544627,3.849999259466098,3.3978029618624896,3.8379432418910273,3.552131108253784,4.100977647724821,4.02768487693716,4.4809113460477485,3.792855352362489,4.790772037862,4.714795011118162,4.18824265626441,3.5172756932095814,3.234194722953812,3.593353770980297,3.9476661567960103,3.6948801927991917,2.18269229751619,4.4087118610294285,3.854993016757,3.0461417816447205
LAS1L,2.2479275134435857,2.541019153133559,0.0,3.881664619320345,3.925999418556223,3.8904466926799057,4.0435194936627425,4.111865963867557,4.356143810225276,4.628190334615213,3.790772037862,3.71918344048179,4.619999829821357,4.524189078449365,3.992768430768924,3.931683057059806,3.820689560559215,4.560103513464738,4.322649262131017,4.064365540263628,4.000901402741532,4.623515741490549,4.044394119358453,3.9818526532897405,4.078097423026661,3.725741156503952,3.5861642459309095,4.2787282129389395,4.57349571549561,4.129283016944966,2.304511041809953,3.0531113364595623,4.121844297876376,4.198494153639083,4.36737106564853,5.203984165855989,4.030336078370959,4.203201156316611,3.4841381312016693,3.990954860396993,2.4776773275653072,3.9606970393043124,3.7602209464665095,3.0125686735030555,2.3868109464722167,4.128458384146928,4.177120502846516,4.161887682376894,3.215678596607928,3.9990980337056072,4.003602236680195,4.084914659767938,3.920293300211007,4.301587646603187,3.903038270112912,4.718087583960517,2.5160151470036647,4.294253136444514,4.502075956045791,3.7803100990433753
ENPP4,0.04264433740849372,0.17632277264046287,0.0,0.4005379295837288,0.6870606883398922,0.5655971758542251,0.46466826700344427,0.6780719051126377,0.9560566524124029,1.944858445807539,1.944858445807539,0.45417589318580215,1.1699250014423124,1.3561438102252754,1.4168397419128291,2.032100843167024,1.2141248053528475,0.963474123974886,1.0285691521967708,0.9560566524124029,1.3448284969974411,1.1309308698264486,1.9708536543404835,1.144046369616707,0.15055967657538138,0.49569516262406876,1.6915341649192002,1.550900664647523,2.2660368939953175,0.7484612330040358,1.1953475983222193,1.4750848829487828,1.4276061727818994,1.3561438102252754,0.903038270112912,3.424922088210688,0.632268215499513,0.7484612330040358,1.790772037862,0.9927684307689242,2.2016338611696504,0.7907720378619999,0.765534746362977,0.0,1.2265085298086797,1.1375035237499351,1.2265085298086797,1.2203299548795556,2.0874628412503395,0.6229303509201767,0.903038270112912,1.1763227726404628,0.9927684307689242,1.1763227726404628,1.2141248053528475,1.0840642647884746,2.0840642647884744,1.0565835283663676,0.8875252707415875,0.27500704749986976
SEMA3F,3.2524762141352173,4.386121156814855,5.336640446408735,4.381975478557301,4.514753498439753,4.135042286233651,4.130930869826448,4.03738222200308,3.2265085298086795,3.3204846780176935,3.753818443173543,5.624685810525398,4.084914659767938,4.0232553523003025,4.555202633878297,4.6570683012015754,3.903038270112912,5.241077458175037,4.090853430451113,4.615298579092115,3.33771109212829,4.954661620837898,4.867896463992655,5.4252578719992135,5.485426827170242,4.808385050656093,3.4789718050329426,4.02768487693716,3.634593268445757,3.396433531250992,3.927896453728821,5.0785244453890765,5.625270489374693,4.628773595201645,4.888012585402829,0.0,5.431622959713292,4.792334805706692,2.4168397419128294,4.877744249949002,2.3868109464722167,5.341274183692174,4.759688488427289,0.11103131238874395,3.835924074254375,3.7548875021634687,5.053545817727984,5.481880139620285,2.9818526532897405,4.605257262939004,3.835924074254375,5.053111336459563,4.2024177215751815,5.663913842115978,3.1554254317471973,4.684257705058932,3.73768676140986,5.303415462685624,4.527946098908258,4.552131108253784
CFTR,3.9164766444377164,3.2387868595871163,0.0,1.8718436485093177,0.0,2.169925001442312,0.5655971758542251,1.2203299548795556,1.6825732973475784,1.570462931026041,2.18269229751619,2.963474123974886,2.4854268271702415,2.2078928516413328,1.3161457422933565,2.776103988073164,3.2809563138310565,2.565597175854225,2.4646682670034443,2.596935142387232,2.7398481026993275,0.070389327891398,1.8196681834964554,1.298658315564515,2.327687364176047,2.4489009511451276,1.232660756790275,2.035623909730721,3.203201156316611,2.8399595874895316,3.6701605141266334,0.0,0.5945485495503542,0.056583528366367514,3.1127001327493624,3.6380738371807184,0.0,1.3504972470841332,3.8308637567517576,1.411426245726465,3.725741156503952,1.899175630480513,0.7311832415722002,0.0,4.224194663970433,2.060047383669939,2.790772037862,2.0107798387532423,3.918386234446348,0.6040713236688608,1.3391373849195856,0.44360665147561457,3.016139702655253,1.944858445807539,1.7355221772965375,2.2418401835646704,0.0,3.8509993947164736,2.204766750654613,3.3798981635246923
ANKIB1,1.584962500721156,2.017921907997262,0.0,4.4963345134171115,4.423578170981798,4.3298411765306275,4.017031080527841,4.204766750654613,4.210232990095849,4.532940288372874,5.320484678017694,4.207892851641333,4.752213367865143,5.044831233447812,5.2082831384125186,4.858478390423273,4.540399305630624,5.275752048828529,4.344828496997441,3.82273014794452,3.7834566543602395,4.898208352508718,4.9593064897596575,4.935931139752267,6.228626318331999,3.5197934862411002,4.5963388642052,5.164705840182799,5.380590934265922,3.587364990936461,2.032100843167024,5.018367115543116,5.169524197150003,5.0785244453890765,3.9231491804723087,0.0,4.097610796626422,3.956056652412403,3.560714954474479,4.853496703702325,3.1667154449664223,3.5298209465286954,3.7387678368001915,6.26134275618808,2.8659188145522125,4.642123916153487,4.082361969557474,4.143230134776893,1.495695162624069,3.838951766951943,3.9088129077395473,4.659924558402379,4.682573297347578,4.5410191531335595,4.991408466764788,4.792855352362489,4.016139702655253,4.777682717073553,4.82781902461732,3.249445341085839
CYP51A1,6.129489101516546,5.191009848587294,6.013685569928653,5.311793717753649,4.075532631167357,3.3881895371560837,4.339850002884624,4.425593577653059,4.1651079851445365,3.382667252745041,4.389566811762726,4.410748128185948,3.6380738371807184,3.899175630480513,4.391630261517429,3.350497247084133,4.008092420948722,4.694323060125386,4.195347598322219,4.020591094773247,4.042644337408494,4.064365540263628,4.097610796626422,3.9307373375628862,5.3139713710590195,4.87528859822269,4.393690764187454,4.207892851641333,3.938285791884053,3.673556423990145,7.115095685112966,3.3950627995175777,4.710393192170516,4.269033146455237,4.4202128906107845,5.492173659610827,4.4269356196483365,3.6064422281316078,5.71699089440494,4.032100843167024,5.794675787986858,4.053111336459563,4.594548549550354,5.163498732282879,6.347488497211795,3.91169158187234,3.8649289722897877,4.071247819461443,5.174326515173915,3.851998837112446,3.9126498648972037,4.303050084681673,3.949534933017012,3.5777309314900805,5.404971223589166,3.9001422603598166,3.8021932169418253,3.7949356628035362,4.392317422778761,3.526068811667588
KRIT1,6.028127082317139,5.424250286084049,4.9954845188775066,4.979568100095187,5.477677327565307,4.452200049406222,3.698218478224414,4.5861642459309095,4.92552476974757,4.444932048942182,5.179112900678563,4.819157223674968,4.579542224936903,4.9593064897596575,4.981396031972149,4.402585758232587,4.380590934265922,5.106850796450224,4.682573297347578,4.662205499653616,4.257764968571387,4.853995647176393,4.584962500721156,4.505890929729957,5.434294617959925,5.091276694365222,4.282439805006387,4.899659026377443,5.324810603420484,5.422569410860832,3.9569859246125763,5.848247352704505,4.870857864363762,4.919816770052789,4.907852071845964,0.0,4.422233000683048,4.719731056749852,3.72137265947682,4.519164449806069,2.604071323668861,4.590362488463746,4.446917864866026,6.843481425432457,3.350497247084133,4.896756218474805,4.68873986801449,4.615298579092115,5.954661620837898,4.6959938131099,5.237257770900372,4.816087658600206,4.403949364232865,5.207502459258789,5.9354597478052895,4.393690764187454,5.439955517478156,4.551516017628014,4.632849830117706,4.824767853143293
RAD52,1.9373443921502325,2.7782085763980877,0.0,3.9616233282869446,2.408711861029429,4.11603199344711,3.787641414483326,3.356143810225275,3.9467308601403097,3.7037651787934096,3.1489341045263393,3.582556003014061,3.763411574470007,4.07724299893246,4.498889086976805,4.095080491901415,4.20945336562895,4.160274831408593,4.139142019145689,4.199279721336625,3.3673710656485296,4.275752048828529,4.224966365000275,3.8328900141647417,3.4462562298895643,4.144862142915734,3.626439136697315,5.224580566083445,5.098453246309274,4.546585829008101,4.134220939760634,4.62702310555406,3.700439718141092,4.5410191531335595,3.0036022366801953,0.0,3.598126959919604,4.313245851787562,2.8298495598446904,3.7037651787934096,2.956056652412403,3.8011586560936985,3.4154882710497003,0.13750352374993502,3.1060132376221192,4.237257770900372,4.354028938054387,4.464668267003444,2.957914598632985,4.008988783227255,3.628773595201645,3.9882302230604574,3.7463127664254587,3.7708290460324903,4.584361252518709,4.410748128185948,4.135042286233651,4.501439145158873,3.785550551739256,3.507160349117523
